ChunkID,ChunkText
0,"The Roman Empire[a] is generally understood to mean the period, and the territory ruled, following Octavian's assumption of sole rule under the Principate in 31 BC, even though Rome had established an empire long before this date. Its territory included the shores of the whole Mediterranean and eventually extended as far as Britannia and Western Asia. Rome had expanded its rule to most of the Mediterranean and beyond, but became severely destabilized in civil wars and political conflicts which culminated in the victory of Octavian over Mark Antony and Cleopatra at the Battle of Actium in 31 BC and the subsequent conquest of the Ptolemaic Kingdom in Egypt. The Roman Senate granted Octavian overarching power (imperium) and the new title of Augustus, marking his accession as the first Roman emperor of a monarchy with Rome as its sole capital. The vast Roman territories were organized in senatorial and imperial provinces."
5,"The first two centuries of the Empire saw a period of unprecedented stability and prosperity known as the Pax Romana (lit. 'Roman Peace'). Rome reached its greatest territorial expanse under Trajan (AD 98–117); a period of increasing trouble and decline began under Commodus (180–192). In the 3rd century, the Empire underwent a crisis that threatened its existence, as the Gallic and Palmyrene Empires broke away from the Roman state, and a series of short-lived emperors led the Empire. It was reunified under Aurelian (r. 270–275)."
10,"Diocletian set up two different imperial courts in the Greek East and Latin West in 286; Christians rose to power in the 4th century following the Edict of Milan. The imperial seat moved from Rome to Byzantium in 330, renamed Constantinople after Constantine the Great. The Migration Period, involving large invasions by Germanic peoples and by the Huns of Attila, led to the decline of the Western Roman Empire. With the fall of Ravenna to the Germanic Herulians and the deposition of Romulus Augustus in 476 by Odoacer, the Western Roman Empire finally collapsed. The Eastern Roman Empire survived for another millennium with Constantinople as its sole capital, until the city's fall in 1453."
15,"[f]

Due to the Empire's extent and endurance, its institutions and culture had a lasting influence on the development of language, religion, art, architecture, literature, philosophy, law, and forms of government in its territories. Latin evolved into the Romance languages, while Medieval Greek became the language of the East. The Empire's adoption of Christianity led to the formation of medieval Christendom. Roman and Greek art had a profound impact on the Italian Renaissance. Rome's architectural tradition served as the basis for Romanesque, Renaissance and Neoclassical architecture, and influenced Islamic architecture."
20,"The rediscovery of classical science and technology (which formed the basis for Islamic science) in medieval Europe led to the Scientific Renaissance and Scientific Revolution. Many modern legal systems, such as the Napoleonic Code, descend from Roman law, while Rome's republican institutions have influenced the Italian city-state republics of the medieval period, the early United States, and modern democratic republics. History
Main article: History of the Roman Empire
For a chronological guide, see Timeline of Roman history. See also: Campaign history of the Roman military and Roman Kingdom
0:39
Animated overview of the Roman territorial history from the Roman Republic until the fall of its last remnant (the Byzantine Empire) in 1453
Transition from Republic to Empire
Further information: Roman Republic

Augustus of Prima Porta
Rome had begun expanding shortly after the founding of the Roman Republic in the 6th century BC, though not outside the Italian peninsula until the 3rd century BC. Thus, it was an ""empire"" (a great power) long before it had an emperor."
25,"[20] The Republic was not a nation-state in the modern sense, but a network of self-ruled towns (with varying degrees of independence from the Senate) and provinces administered by military commanders. It was governed by annually elected magistrates (Roman consuls above all) in conjunction with the Senate. [21] The 1st century BC was a time of political and military upheaval, which ultimately led to rule by emperors. [22][23][24] The consuls' military power rested in the Roman legal concept of imperium, meaning ""command"" (though typically in a military sense). [25] Occasionally, successful consuls were given the honorary title imperator (commander); this is the origin of the word emperor, since this title was always bestowed to the early emperors."
30,"[26]

Rome suffered a long series of internal conflicts, conspiracies, and civil wars from the late second century BC—Crisis of the Roman Republic—while greatly extending its power beyond Italy. In 44 BC, Julius Caesar was briefly perpetual dictator before being assassinated. The faction of his assassins was driven from Rome and defeated at the Battle of Philippi in 42 BC by Mark Antony and Caesar's adopted son Octavian. Antony and Octavian's division of the Roman world did not last and Octavian's forces defeated those of Mark Antony and Cleopatra at the Battle of Actium in 31 BC. In 27 BC the Senate made Octavian princeps (""first citizen"") with proconsular imperium, thus beginning the Principate (the first epoch of Roman imperial history, usually dated from 27 BC to 284 AD), and gave him the title Augustus (""the venerated"")."
35,"Although the republic stood in name, Augustus had all meaningful authority. [27] Since his rule began an unprecedented period of peace and prosperity, he was so loved that he came to hold the power of a monarch de facto if not de jure. During the years of his rule, a new constitutional order emerged (in part organically and in part by design), so that, upon his death, this new constitutional order operated as before when Tiberius was accepted as the new emperor. Pax Romana
Main article: Pax Romana
The so-called ""Five Good Emperors"" of 96–180 AD

Nerva (r. 96–98)

Trajan (r. 98–117)

Hadrian (r. 117–138)

Antoninus Pius (r. 138–161)

Marcus Aurelius (r. 161–180)
The 200 years that began with Augustus's rule is traditionally regarded as the Pax Romana (""Roman Peace""). The cohesion of the empire was furthered by a degree of social stability and economic prosperity that Rome had never before experienced."
40,"Uprisings in the provinces were infrequent and put down ""mercilessly and swiftly"". [28] The success of Augustus in establishing principles of dynastic succession was limited by his outliving a number of talented potential heirs. The Julio-Claudian dynasty lasted for four more emperors—Tiberius, Caligula, Claudius, and Nero—before it yielded in 69 AD to the strife-torn Year of the Four Emperors, from which Vespasian emerged as victor. Vespasian became the founder of the brief Flavian dynasty, followed by the Nerva–Antonine dynasty which produced the ""Five Good Emperors"": Nerva, Trajan, Hadrian, Antoninus Pius, and Marcus Aurelius. Fall in the West and survival in the East
Main articles: Later Roman Empire and Fall of the Western Roman Empire
See also: Barbarian kingdoms and Byzantine Empire

The Barbarian Invasions consisted of the movement of (mainly) ancient Germanic peoples into Roman territory."
45,"Historically, this event marked the transition between classical antiquity and the Middle Ages. In the view of contemporary Greek historian Cassius Dio, the accession of Commodus in 180 marked the descent ""from a kingdom of gold to one of rust and iron""[29]—a comment which has led some historians, notably Edward Gibbon, to take Commodus' reign as the beginning of the Empire's decline. [30][31]

In 212, during the reign of Caracalla, Roman citizenship was granted to all freeborn inhabitants of the empire. The Severan dynasty was tumultuous—an emperor's reign was ended routinely by his murder or execution—and, following its collapse, the Empire was engulfed by the Crisis of the Third Century, a period of invasions, civil strife, economic disorder, and plague. [32] In defining historical epochs, this crisis sometimes marks the transition from Classical to Late Antiquity."
